
========================================================================================================================
All Models Sorted by Price (Input + Output)
========================================================================================================================
Provider                   | Name                                                 |   Input |  Write |   Read |     Out | Model                                               
OpenRouter                 | Mistral Small 3.1 24B                                |   $0.05 |        |        |   $0.15 | mistral-small-3.1-24b-instruct                      
OpenRouter                 | mistral/ministral-8b                                 |   $0.10 |        |        |   $0.10 | mistral/ministral-8b                                
OpenRouter                 | mistralai/ministral-8b                               |   $0.10 |        |        |   $0.10 | mistralai/ministral-8b                              
OpenRouter                 | mistralai/pixtral-12b                                |   $0.10 |        |        |   $0.10 | mistralai/pixtral-12b                               
OpenRouter                 | Phi-3 Mini 128K Instruct                             |   $0.10 |        |        |   $0.10 | phi-3-mini-128k-instruct                            
OpenRouter                 | Phi-3.5 Mini 128K Instruct                           |   $0.10 |        |        |   $0.10 | phi-3.5-mini-128k-instruct                          
OpenRouter                 | Pixtral 12B                                          |   $0.10 |        |        |   $0.10 | pixtral-12b                                         
Together AI                | Qwen/Qwen1.5-0.5B                                    |   $0.10 |        |        |   $0.10 | Qwen/Qwen1.5-0.5B                                   
Together AI                | Qwen/Qwen1.5-1.8B                                    |   $0.10 |        |        |   $0.10 | Qwen/Qwen1.5-1.8B                                   
Together AI                | Qwen/Qwen1.5-4B                                      |   $0.10 |        |        |   $0.10 | Qwen/Qwen1.5-4B                                     
Together AI                | google/gemma-2b                                      |   $0.10 |        |        |   $0.10 | google/gemma-2b                                     
Together AI                | meta-llama/Meta-Llama-3-8B-Instruct-Lite             |   $0.10 |        |        |   $0.10 | meta-llama/Meta-Llama-3-8B-Instruct-Lite            
Together AI                | microsoft/phi-2                                      |   $0.10 |        |        |   $0.10 | microsoft/phi-2                                     
Together AI                | togethercomputer/RedPajama-INCITE-Base-3B-v1         |   $0.10 |        |        |   $0.10 | togethercomputer/RedPajama-INCITE-Base-3B-v1        
Together AI                | togethercomputer/RedPajama-INCITE-Chat-3B-v1         |   $0.10 |        |        |   $0.10 | togethercomputer/RedPajama-INCITE-Chat-3B-v1        
Together AI                | togethercomputer/RedPajama-INCITE-Instruct-3B-v1     |   $0.10 |        |        |   $0.10 | togethercomputer/RedPajama-INCITE-Instruct-3B-v1    
OpenRouter                 | Qwen2.5 Coder 32B Instruct                           |   $0.06 |        |        |   $0.15 | qwen-2.5-coder-32b-instruct                         
OpenRouter                 | Phi 4                                                |   $0.07 |        |        |   $0.14 | phi-4                                               
OpenRouter                 | microsoft/phi-4                                      |   $0.07 |        |        |   $0.14 | microsoft/phi-4                                     
OpenRouter                 | mistralai/mistral-small-24b-instruct-2501            |   $0.07 |        |        |   $0.14 | mistralai/mistral-small-24b-instruct-2501           
OpenRouter                 | Phi 4                                                |   $0.07 |        |        |   $0.14 | phi-4                                               
OpenRouter                 | qwen/qwen-2.5-coder-32b-instruct                     |   $0.07 |        |        |   $0.15 | qwen/qwen-2.5-coder-32b-instruct                    
HuggingFace (together)     | gpt-oss-120b                                         |   $0.04 |        |        |   $0.20 | openai/gpt-oss-120b                                 
HuggingFace (together)     | gpt-oss-20b                                          |   $0.05 |        |        |   $0.20 | openai/gpt-oss-20b                                  
HuggingFace (together)     | gpt-oss-20b                                          |   $0.05 |        |        |   $0.20 | openai/gpt-oss-20b                                  
HuggingFace (nscale)       | Qwen3-8B                                             |   $0.07 |        |        |   $0.18 | Qwen/Qwen3-8B                                       
HuggingFace (together)     | gpt-oss-20b                                          |   $0.05 |        |        |   $0.20 | openai/gpt-oss-20b                                  
HuggingFace (together)     | gpt-oss-20b                                          |   $0.05 |        |        |   $0.20 | openai/gpt-oss-20b                                  
OpenRouter                 | Qwen-Turbo                                           |   $0.05 |        |  $0.02 |   $0.20 | qwen-turbo                                          
OpenRouter                 | qwen/qwen-turbo                                      |   $0.05 |        |        |   $0.20 | qwen/qwen-turbo                                     
HuggingFace (nscale)       | Qwen2.5-Coder-32B-Instruct                           |   $0.06 |        |        |   $0.20 | Qwen/Qwen2.5-Coder-32B-Instruct                     
HuggingFace (nebius)       | NVIDIA-Nemotron-Nano-12B-v2                          |   $0.07 |        |        |   $0.20 | nvidia/NVIDIA-Nemotron-Nano-12B-v2                  
HuggingFace (nscale)       | Qwen3-14B                                            |   $0.07 |        |        |   $0.20 | Qwen/Qwen3-14B                                      
HuggingFace (novita)       | Hermes-2-Pro-Llama-3-8B                              |   $0.14 |        |        |   $0.14 | NousResearch/Hermes-2-Pro-Llama-3-8B                
HuggingFace (novita)       | ERNIE-4.5-21B-A3B-PT                                 |   $0.06 |        |        |   $0.22 | baidu/ERNIE-4.5-21B-A3B-PT                          
OpenRouter                 | nousresearch/hermes-2-pro-llama-3-8b                 |   $0.14 |        |        |   $0.14 | nousresearch/hermes-2-pro-llama-3-8b                
OpenRouter                 | Llama 3.3 70B Instruct                               |   $0.05 |        |        |   $0.24 | llama-3.3-70b-instruct                              
AWS Bedrock                | Nova Lite                                            |   $0.06 |        |  $0.01 |   $0.24 | amazon.nova-lite-v1:0                               
AWS Bedrock                | Nova Sonic                                           |   $0.06 |        |        |   $0.24 | amazon.nova-sonic-v1:0                              
AWS Bedrock                | Llama 3.2 3B Instruct                                |   $0.15 |        |        |   $0.15 | meta.llama3-2-3b-instruct-v1:0                      
HuggingFace (nscale)       | DeepSeek-R1-Distill-Qwen-14B                         |   $0.15 |        |        |   $0.15 | deepseek-ai/DeepSeek-R1-Distill-Qwen-14B            
HuggingFace (nscale)       | DeepSeek-R1-Distill-Qwen-7B                          |   $0.15 |        |        |   $0.15 | deepseek-ai/DeepSeek-R1-Distill-Qwen-7B             
OpenRouter                 | Mistral NeMo                                         |   $0.15 |        |        |   $0.15 | mistral-nemo                                        
OpenRouter                 | Pixtral 12B                                          |   $0.15 |        |        |   $0.15 | pixtral-12b                                         
OpenRouter                 | deepseek/deepseek-r1-distill-qwen-14b                |   $0.15 |        |        |   $0.15 | deepseek/deepseek-r1-distill-qwen-14b               
OpenRouter                 | amazon/nova-lite-v1                                  |   $0.06 |        |        |   $0.24 | amazon/nova-lite-v1                                 
OpenRouter                 | R1 Distill Qwen 14B                                  |   $0.15 |        |        |   $0.15 | deepseek-r1-distill-qwen-14b                        
OpenRouter                 | R1 Distill Qwen 32B                                  |   $0.12 |        |        |   $0.18 | deepseek-r1-distill-qwen-32b                        
OpenRouter                 | deepseek/deepseek-r1-distill-qwen-14b                |   $0.15 |        |        |   $0.15 | deepseek/deepseek-r1-distill-qwen-14b               
OpenRouter                 | deepseek/deepseek-r1-distill-qwen-32b                |   $0.12 |        |        |   $0.18 | deepseek/deepseek-r1-distill-qwen-32b               
OpenRouter                 | LFM 40B MoE                                          |   $0.15 |        |        |   $0.15 | lfm-40b                                             
OpenRouter                 | liquid/lfm-40b                                       |   $0.15 |        |        |   $0.15 | liquid/lfm-40b                                      
OpenRouter                 | Mistral 7B Instruct v0.1                             |   $0.11 |        |        |   $0.19 | mistral-7b-instruct-v0.1                            
OpenRouter                 | Nova Lite 1.0                                        |   $0.06 |        |        |   $0.24 | nova-lite-v1                                        
OpenRouter                 | Qwen3 14B                                            |   $0.06 |        |        |   $0.24 | qwen3-14b                                           
HuggingFace (sambanova)    | Llama-3.1-8B-Instruct                                |   $0.10 |        |        |   $0.20 | meta-llama/Llama-3.1-8B-Instruct                    
OpenRouter                 | R1 Distill Qwen 7B                                   |   $0.10 |        |        |   $0.20 | deepseek-r1-distill-qwen-7b                         
OpenRouter                 | Gemma 3 27B                                          |   $0.10 |        |        |   $0.20 | gemma-3-27b-it                                      
OpenRouter                 | google/gemma-3-27b-it                                |   $0.10 |        |        |   $0.20 | google/gemma-3-27b-it                               
AWS Bedrock                | Llama 3.2 11B Instruct                               |   $0.16 |        |        |   $0.16 | meta.llama3-2-11b-instruct-v1:0                     
OpenRouter                 | Mixtral 8x7B Instruct                                |   $0.08 |        |        |   $0.24 | mixtral-8x7b-instruct                               
HuggingFace (sambanova)    | Qwen3-32B                                            |   $0.08 |        |        |   $0.25 | Qwen/Qwen3-32B                                      
OpenRouter                 | mistralai/mistral-nemo                               |   $0.17 |        |        |   $0.17 | mistralai/mistral-nemo                              
OpenRouter                 | nousresearch/nous-hermes-llama2-13b                  |   $0.17 |        |        |   $0.17 | nousresearch/nous-hermes-llama2-13b                 
Novita                     | teknium/openhermes-2.5-mistral-7b                    |   $0.17 |        |        |   $0.17 | teknium/openhermes-2.5-mistral-7b                   
AWS Bedrock                | Titan Text G1 - Lite                                 |   $0.15 |        |        |   $0.20 | amazon.titan-text-lite-v1                           
AWS Bedrock                | Mistral 7B Instruct                                  |   $0.15 |        |        |   $0.20 | mistral.mistral-7b-instruct-v0:2                    
OpenRouter                 | meta-llama/llama-3.3-70b-instruct                    |   $0.10 |        |        |   $0.25 | meta-llama/llama-3.3-70b-instruct                   
OpenRouter                 | qwen/qwq-32b                                         |   $0.15 |        |        |   $0.20 | qwen/qwq-32b                                        
OpenRouter                 | QwQ 32B                                              |   $0.15 |        |        |   $0.20 | qwq-32b                                             
Groq                       | llama-3.2-11b-text-preview                           |   $0.18 |        |        |   $0.18 | llama-3.2-11b-text-preview                          
Groq                       | llama-3.2-11b-vision-preview                         |   $0.18 |        |        |   $0.18 | llama-3.2-11b-vision-preview                        
OpenRouter                 | R1 Distill Qwen 1.5B                                 |   $0.18 |        |        |   $0.18 | deepseek-r1-distill-qwen-1.5b                       
OpenRouter                 | deepseek/deepseek-r1-distill-qwen-1.5b               |   $0.18 |        |        |   $0.18 | deepseek/deepseek-r1-distill-qwen-1.5b              
OpenRouter                 | nousresearch/nous-hermes-llama2-13b                  |   $0.18 |        |        |   $0.18 | nousresearch/nous-hermes-llama2-13b                 
OpenRouter                 | scb10x/llama3.1-typhoon2-8b-instruct                 |   $0.18 |        |        |   $0.18 | scb10x/llama3.1-typhoon2-8b-instruct                
OpenRouter                 | Spotlight                                            |   $0.18 |        |        |   $0.18 | spotlight                                           
Together AI                | meta-llama/Meta-Llama-3-8B-Instruct-Turbo            |   $0.18 |        |        |   $0.18 | meta-llama/Meta-Llama-3-8B-Instruct-Turbo           
Together AI                | meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo          |   $0.18 |        |        |   $0.18 | meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo         
HuggingFace (together)     | marin-8b-instruct                                    |   $0.18 |        |        |   $0.18 | marin-community/marin-8b-instruct                   
AWS Bedrock                | gpt-oss-20b                                          |   $0.07 |        |        |   $0.30 | openai.gpt-oss-20b-1:0                              
OpenRouter                 | Qwen3 30B A3B                                        |   $0.08 |        |        |   $0.29 | qwen3-30b-a3b                                       
Google                     | gemini 2.0 flash lite                                |   $0.07 |        |        |   $0.30 | gemini-2.0-flash-lite                               
HuggingFace (together)     | openai/gpt-oss-20b                                   |   $0.07 |        |  $0.04 |   $0.30 | openai/gpt-oss-20b                                  
OpenRouter                 | Gemini 2.0 Flash Lite                                |   $0.07 |        |        |   $0.30 | gemini-2.0-flash-lite-001                           
OpenRouter                 | Gemini 1.5 Flash                                     |   $0.07 |  $0.16 |  $0.02 |   $0.30 | gemini-flash-1.5                                    
OpenRouter                 | google/gemini-2.0-flash-lite-001                     |   $0.07 |        |        |   $0.30 | google/gemini-2.0-flash-lite-001                    
OpenRouter                 | google/gemini-flash-1.5                              |   $0.07 |        |        |   $0.30 | google/gemini-flash-1.5                             
Groq                       | llama3-groq-8b-8192-tool-use-preview                 |   $0.19 |        |        |   $0.19 | llama3-groq-8b-8192-tool-use-preview                
HuggingFace (nscale)       | QwQ-32B                                              |   $0.18 |        |        |   $0.20 | Qwen/QwQ-32B                                        
Together AI                | Llama-4-Scout-17B-16E-Instruct                       |   $0.09 |        |        |   $0.29 | meta-llama/Llama-4-Scout-17B-16E-Instruct           
OpenRouter                 | Llama 3.1 70B Instruct                               |   $0.10 |        |        |   $0.28 | llama-3.1-70b-instruct                              
OpenRouter                 | Llama 4 Scout                                        |   $0.08 |        |        |   $0.30 | llama-4-scout                                       
OpenRouter                 | meta-llama/llama-4-scout                             |   $0.08 |        |        |   $0.30 | meta-llama/llama-4-scout                            
OpenAI                     | babbage                                              |   $0.40 |        |        |         | babbage                                             
Fireworks                  | Llama 3.1 8B Instruct                                |   $0.20 |        |        |   $0.20 | llama-v3p1-8b-instruct                              
Groq                       | Gemma 2 9B 8k                                        |   $0.20 |        |        |   $0.20 | gemma2-9b-it                                        
OpenRouter                 | llama-guard-3-8b                                     |   $0.20 |        |        |   $0.20 | llama-guard-3-8b                                    
Groq                       | Llama Guard 4 12B                                    |   $0.20 |        |        |   $0.20 | meta-llama/llama-guard-4-12b                        
HuggingFace (sambanova)    | Llama-3.1-8B-Instruct                                |   $0.20 |        |        |   $0.20 | meta-llama/Llama-3.1-8B-Instruct                    
HuggingFace (groq)         | Llama-Guard-4-12B                                    |   $0.20 |        |        |   $0.20 | meta-llama/Llama-Guard-4-12B                        
HuggingFace (nscale)       | Qwen2.5-Coder-32B-Instruct                           |   $0.20 |        |        |   $0.20 | Qwen/Qwen2.5-Coder-32B-Instruct                     
HuggingFace (hyperbolic)   | Qwen2.5-VL-7B-Instruct                               |   $0.20 |        |        |   $0.20 | Qwen/Qwen2.5-VL-7B-Instruct                         
HuggingFace (nebius)       | Qwen3-30B-A3B-Instruct-2507                          |   $0.10 |        |        |   $0.30 | Qwen/Qwen3-30B-A3B-Instruct-2507                    
HuggingFace (nebius)       | Qwen3-30B-A3B-Thinking-2507                          |   $0.10 |        |        |   $0.30 | Qwen/Qwen3-30B-A3B-Thinking-2507                    
HuggingFace (sambanova)    | Qwen3-32B                                            |   $0.10 |        |        |   $0.30 | Qwen/Qwen3-32B                                      
HuggingFace (nebius)       | Qwen3-Coder-30B-A3B-Instruct                         |   $0.10 |        |        |   $0.30 | Qwen/Qwen3-Coder-30B-A3B-Instruct                   
HuggingFace (nscale)       | DeepSeek-R1-Distill-Qwen-14B                         |   $0.20 |        |        |   $0.20 | deepseek-ai/DeepSeek-R1-Distill-Qwen-14B            
Mistral                    | Mistral Small 3.2                                    |   $0.10 |        |        |   $0.30 | mistral-small-latest                                
OpenRouter                 | aion-labs/aion-rp-llama-3.1-8b                       |   $0.20 |        |        |   $0.20 | aion-labs/aion-rp-llama-3.1-8b                      
OpenRouter                 | Aion-RP 1.0 (8B)                                     |   $0.20 |        |        |   $0.20 | aion-rp-llama-3.1-8b                                
OpenRouter                 | Dobby Mini Plus Llama 3.1 8B                         |   $0.20 |        |        |   $0.20 | dobby-mini-unhinged-plus-llama-3.1-8b               
OpenRouter                 | Gemma 2 9B                                           |   $0.20 |        |        |   $0.20 | gemma-2-9b-it                                       
Perplexity                 | Llama 3.1 Sonar 8B Online                            |   $0.20 |        |        |   $0.20 | llama-3.1-sonar-small-128k-online                   
OpenRouter                 | LlamaGuard 2 8B                                      |   $0.20 |        |        |   $0.20 | llama-guard-2-8b                                    
OpenRouter                 | meta-llama/llama-guard-2-8b                          |   $0.20 |        |        |   $0.20 | meta-llama/llama-guard-2-8b                         
OpenRouter                 | Mistral 7B Instruct v0.2                             |   $0.20 |        |        |   $0.20 | mistral-7b-instruct-v0.2                            
OpenRouter                 | mistralai/mistral-7b-instruct-v0.1                   |   $0.20 |        |        |   $0.20 | mistralai/mistral-7b-instruct-v0.1                  
OpenRouter                 | mistralai/mistral-7b-instruct-v0.2                   |   $0.20 |        |        |   $0.20 | mistralai/mistral-7b-instruct-v0.2                  
OpenRouter                 | mistralai/mistral-small-3.1-24b-instruct             |   $0.10 |        |        |   $0.30 | mistralai/mistral-small-3.1-24b-instruct            
OpenRouter                 | perplexity/llama-3.1-sonar-small-128k-online         |   $0.20 |        |        |   $0.20 | perplexity/llama-3.1-sonar-small-128k-online        
OpenRouter                 | Qwen2.5-VL 7B Instruct                               |   $0.20 |        |        |   $0.20 | qwen-2.5-vl-7b-instruct                             
OpenRouter                 | qwen/qwen-2.5-vl-7b-instruct                         |   $0.20 |        |        |   $0.20 | qwen/qwen-2.5-vl-7b-instruct                        
OpenRouter                 | qwen/qwen2.5-coder-7b-instruct                       |   $0.20 |        |        |   $0.20 | qwen/qwen2.5-coder-7b-instruct                      
OpenRouter                 | qwen/qwq-32b-preview                                 |   $0.20 |        |        |   $0.20 | qwen/qwq-32b-preview                                
OpenRouter                 | Qwen3 32B                                            |   $0.10 |        |        |   $0.30 | qwen3-32b                                           
OpenRouter                 | QwQ 32B Preview                                      |   $0.20 |        |        |   $0.20 | qwq-32b-preview                                     
Perplexity                 | Llama 3.1 Sonar 8B Online                            |   $0.20 |        |        |   $0.20 | llama-3.1-sonar-small-128k-online                   
Together AI                | NousResearch/Nous-Capybara-7B-V1p9                   |   $0.20 |        |        |   $0.20 | NousResearch/Nous-Capybara-7B-V1p9                  
Together AI                | NousResearch/Nous-Hermes-llama-2-7b                  |   $0.20 |        |        |   $0.20 | NousResearch/Nous-Hermes-llama-2-7b                 
Together AI                | Open-Orca/Mistral-7B-OpenOrca                        |   $0.20 |        |        |   $0.20 | Open-Orca/Mistral-7B-OpenOrca                       
Together AI                | Qwen/Qwen1.5-7B                                      |   $0.20 |        |        |   $0.20 | Qwen/Qwen1.5-7B                                     
Together AI                | Undi95/Toppy-M-7B                                    |   $0.20 |        |        |   $0.20 | Undi95/Toppy-M-7B                                   
Together AI                | allenai/OLMo-7B                                      |   $0.20 |        |        |   $0.20 | allenai/OLMo-7B                                     
Together AI                | codellama/CodeLlama-7b-Instruct-hf                   |   $0.20 |        |        |   $0.20 | codellama/CodeLlama-7b-Instruct-hf                  
Together AI                | google/gemma-7b                                      |   $0.20 |        |        |   $0.20 | google/gemma-7b                                     
Together AI                | lmsys/vicuna-7b-v1.5                                 |   $0.20 |        |        |   $0.20 | lmsys/vicuna-7b-v1.5                                
Together AI                | meta-llama/Llama-2-7b-chat-hf                        |   $0.20 |        |        |   $0.20 | meta-llama/Llama-2-7b-chat-hf                       
Together AI                | meta-llama/Llama-3-8b-chat-hf                        |   $0.20 |        |        |   $0.20 | meta-llama/Llama-3-8b-chat-hf                       
Together AI                | mistralai/Mistral-7B-Instruct-v0.1                   |   $0.20 |        |        |   $0.20 | mistralai/Mistral-7B-Instruct-v0.1                  
Together AI                | mistralai/Mistral-7B-Instruct-v0.2                   |   $0.20 |        |        |   $0.20 | mistralai/Mistral-7B-Instruct-v0.2                  
Together AI                | mistralai/Mistral-7B-v0.1                            |   $0.20 |        |        |   $0.20 | mistralai/Mistral-7B-v0.1                           
Together AI                | openchat/openchat-3.5-1210                           |   $0.20 |        |        |   $0.20 | openchat/openchat-3.5-1210                          
Together AI                | snorkelai/Snorkel-Mistral-PairRM-DPO                 |   $0.20 |        |        |   $0.20 | snorkelai/Snorkel-Mistral-PairRM-DPO                
Together AI                | teknium/OpenHermes-2-Mistral-7B                      |   $0.20 |        |        |   $0.20 | teknium/OpenHermes-2-Mistral-7B                     
Together AI                | teknium/OpenHermes-2p5-Mistral-7B                    |   $0.20 |        |        |   $0.20 | teknium/OpenHermes-2p5-Mistral-7B                   
Together AI                | togethercomputer/GPT-JT-Moderation-6B                |   $0.20 |        |        |   $0.20 | togethercomputer/GPT-JT-Moderation-6B               
Together AI                | togethercomputer/Llama-2-7B-32K-Instruct             |   $0.20 |        |        |   $0.20 | togethercomputer/Llama-2-7B-32K-Instruct            
Together AI                | togethercomputer/RedPajama-INCITE-7B-Base            |   $0.20 |        |        |   $0.20 | togethercomputer/RedPajama-INCITE-7B-Base           
Together AI                | togethercomputer/RedPajama-INCITE-7B-Chat            |   $0.20 |        |        |   $0.20 | togethercomputer/RedPajama-INCITE-7B-Chat           
Together AI                | togethercomputer/RedPajama-INCITE-7B-Instruct        |   $0.20 |        |        |   $0.20 | togethercomputer/RedPajama-INCITE-7B-Instruct       
Together AI                | togethercomputer/StripedHyena-Hessian-7B             |   $0.20 |        |        |   $0.20 | togethercomputer/StripedHyena-Hessian-7B            
Together AI                | togethercomputer/StripedHyena-Nous-7B                |   $0.20 |        |        |   $0.20 | togethercomputer/StripedHyena-Nous-7B               
Together AI                | togethercomputer/alpaca-7b                           |   $0.20 |        |        |   $0.20 | togethercomputer/alpaca-7b                          
Together AI                | zero-one-ai/Yi-6B                                    |   $0.20 |        |        |   $0.20 | zero-one-ai/Yi-6B                                   
HuggingFace (together)     | Llama-3.3-70B-Instruct                               |   $0.10 |        |        |   $0.31 | meta-llama/Llama-3.3-70B-Instruct                   
OpenRouter                 | Phi 4 Reasoning Plus                                 |   $0.07 |        |        |   $0.35 | phi-4-reasoning-plus                                
OpenRouter                 | Hermes 3 70B Instruct                                |   $0.12 |        |        |   $0.30 | hermes-3-llama-3.1-70b                              
OpenRouter                 | Llama 3.1 Nemotron 70B Instruct                      |   $0.12 |        |        |   $0.30 | llama-3.1-nemotron-70b-instruct                     
OpenRouter                 | nousresearch/hermes-3-llama-3.1-70b                  |   $0.12 |        |        |   $0.30 | nousresearch/hermes-3-llama-3.1-70b                 
OpenRouter                 | nvidia/llama-3.1-nemotron-70b-instruct               |   $0.12 |        |        |   $0.30 | nvidia/llama-3.1-nemotron-70b-instruct              
OpenRouter                 | Phi 4 Reasoning Plus                                 |   $0.07 |        |        |   $0.35 | phi-4-reasoning-plus                                
HuggingFace (novita)       | Qwen3-30B-A3B                                        |   $0.07 |        |        |   $0.36 | Qwen/Qwen3-30B-A3B                                  
AWS Bedrock                | Llama 3.1 8B Instruct                                |   $0.22 |        |        |   $0.22 | meta.llama3-1-8b-instruct-v1:0                      
HuggingFace (sambanova)    | Qwen3-32B                                            |   $0.08 |        |        |   $0.36 | Qwen/Qwen3-32B                                      
OpenRouter                 | meta-llama/llama-2-13b-chat                          |   $0.22 |        |        |   $0.22 | meta-llama/llama-2-13b-chat                         
OpenAI                     | GPT-5 nano                                           |   $0.05 |        |  $0.01 |   $0.40 | gpt-5-nano                                          
Groq                       | Llama 4 Scout (17Bx16E) 128k                         |   $0.11 |        |        |   $0.34 | meta-llama/llama-4-scout-17b-16e-instruct           
Together AI                | Llama-4-Scout-17B-16E-Instruct                       |   $0.11 |        |        |   $0.34 | meta-llama/Llama-4-Scout-17B-16E-Instruct           
OpenAI                     | GPT-5 nano                                           |   $0.05 |        |  $0.01 |   $0.40 | gpt-5-nano                                          
Together AI                | NousResearch/Nous-Hermes-Llama2-13b                  |   $0.23 |        |        |   $0.23 | NousResearch/Nous-Hermes-Llama2-13b                 
Together AI                | codellama/CodeLlama-13b-Instruct-hf                  |   $0.23 |        |        |   $0.23 | codellama/CodeLlama-13b-Instruct-hf                 
Together AI                | meta-llama/Llama-2-13b-chat-hf                       |   $0.23 |        |        |   $0.23 | meta-llama/Llama-2-13b-chat-hf                      
HuggingFace (novita)       | Qwen3-VL-8B-Instruct                                 |   $0.06 |        |        |   $0.40 | Qwen/Qwen3-VL-8B-Instruct                           
Groq                       | mixtral-8x7b-32768                                   |   $0.24 |        |        |   $0.24 | mixtral-8x7b-32768                                  
HuggingFace (nscale)       | DeepSeek-R1-Distill-Qwen-32B                         |   $0.24 |        |        |   $0.24 | deepseek-ai/DeepSeek-R1-Distill-Qwen-32B            
OpenRouter                 | GLM 4 32B                                            |   $0.24 |        |        |   $0.24 | glm-4-32b                                           
OpenRouter                 | GLM Z1 32B                                           |   $0.24 |        |        |   $0.24 | glm-z1-32b                                          
OpenRouter                 | GLM Z1 Rumination 32B                                |   $0.24 |        |        |   $0.24 | glm-z1-rumination-32b                               
OpenRouter                 | mistralai/mixtral-8x7b-instruct                      |   $0.24 |        |        |   $0.24 | mistralai/mixtral-8x7b-instruct                     
Together AI                | Llama-4-Scout-17B-16E-Instruct                       |   $0.08 |        |        |   $0.40 | meta-llama/Llama-4-Scout-17B-16E-Instruct           
OpenRouter                 | gpt-4.1-nano                                         |   $0.10 |        |  $0.03 |   $0.40 | gpt-4.1-nano                                        
Google                     | gemini 1.0 pro vision                                |   $0.12 |        |        |   $0.38 | gemini-1.0-pro-vision-001                           
Google                     | gemini 2.0 flash                                     |   $0.10 |        |        |   $0.40 | gemini-2.0-flash                                    
Google                     | Gemini 2.5 Flash Lite                                |   $0.10 |        |  $0.01 |   $0.40 | gemini-2.5-flash-lite                               
Google                     | gemini 1.0 pro                                       |   $0.12 |        |        |   $0.38 | gemini-pro                                          
HuggingFace (together)     | gpt-oss-120b                                         |   $0.10 |        |        |   $0.40 | openai/gpt-oss-120b                                 
Mistral                    | Mistral 7B                                           |   $0.25 |        |        |   $0.25 | mistral-7b                                          
OpenRouter                 | Mistral Tiny                                         |   $0.25 |        |        |   $0.25 | mistral-tiny                                        
OpenRouter                 | gpt 4.1 nano                                         |   $0.10 |        |  $0.03 |   $0.40 | gpt-4.1-nano                                        
OpenRouter                 | R1 Distill Llama 70B                                 |   $0.10 |        |        |   $0.40 | deepseek-r1-distill-llama-70b                       
OpenRouter                 | deepseek/deepseek-r1-distill-llama-70b               |   $0.10 |        |        |   $0.40 | deepseek/deepseek-r1-distill-llama-70b              
OpenRouter                 | Gemini 2.0 Flash                                     |   $0.10 |  $0.18 |  $0.03 |   $0.40 | gemini-2.0-flash-001                                
OpenRouter                 | Gemini 2.5 Flash Lite Preview 06-17                  |   $0.10 |        |        |   $0.40 | gemini-2.5-flash-lite-preview-06-17                 
OpenRouter                 | google/gemini-2.0-flash-001                          |   $0.10 |        |        |   $0.40 | google/gemini-2.0-flash-001                         
OpenRouter                 | Gemini 2.5 Flash Lite                                |   $0.10 |  $0.18 |  $0.03 |   $0.40 | google/gemini-2.5-flash-lite                        
OpenRouter                 | Gemini 2.5 Flash Lite Preview 09-2025                |   $0.10 |        |        |   $0.40 | google/gemini-2.5-flash-lite-preview-09-2025        
OpenRouter                 | GPT-4.1 Nano                                         |   $0.10 |        |  $0.03 |   $0.40 | gpt-4.1-nano                                        
OpenRouter                 | Mistral Tiny                                         |   $0.25 |        |        |   $0.25 | mistral-tiny                                        
OpenRouter                 | mistralai/codestral-mamba                            |   $0.25 |        |        |   $0.25 | mistralai/codestral-mamba                           
OpenRouter                 | mistralai/mistral-tiny                               |   $0.25 |        |        |   $0.25 | mistralai/mistral-tiny                              
OpenRouter                 | openai/gpt-4.1-nano                                  |   $0.10 |        |        |   $0.40 | openai/gpt-4.1-nano                                 
OpenRouter                 | meta-llama/llama-3.1-70b-instruct                    |   $0.12 |        |        |   $0.39 | meta-llama/llama-3.1-70b-instruct                   
OpenRouter                 | Qwen2.5 72B Instruct                                 |   $0.12 |        |        |   $0.39 | qwen-2.5-72b-instruct                               
OpenRouter                 | qwen/qwen-2.5-72b-instruct                           |   $0.12 |        |        |   $0.39 | qwen/qwen-2.5-72b-instruct                          
HuggingFace (nebius)       | Hermes-4-70B                                         |   $0.13 |        |        |   $0.40 | NousResearch/Hermes-4-70B                           
OpenRouter                 | Llama 3.3 Nemotron Super 49B v1                      |   $0.13 |        |        |   $0.40 | llama-3.3-nemotron-super-49b-v1                     
HuggingFace (novita)       | Qwen3-235B-A22B-Instruct-2507                        |   $0.07 |        |        |   $0.46 | Qwen/Qwen3-235B-A22B-Instruct-2507                  
HuggingFace (novita)       | DeepSeek-V3.2-Exp                                    |   $0.22 |        |        |   $0.33 | deepseek-ai/DeepSeek-V3.2-Exp                       
HuggingFace (novita)       | ERNIE-4.5-VL-28B-A3B-PT                              |   $0.11 |        |        |   $0.45 | baidu/ERNIE-4.5-VL-28B-A3B-PT                       
HuggingFace (together)     | gpt-oss-20b                                          |   $0.10 |        |        |   $0.50 | openai/gpt-oss-20b                                  
HuggingFace (together)     | Qwen3-Next-80B-A3B-Instruct                          |   $0.30 |        |        |   $0.30 | Qwen/Qwen3-Next-80B-A3B-Instruct                    
HuggingFace (together)     | Qwen3-Next-80B-A3B-Thinking                          |   $0.30 |        |        |   $0.30 | Qwen/Qwen3-Next-80B-A3B-Thinking                    
